FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69c9,6151986,POINT (16.370754705333958 48.19886712319908),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69c8,6151987,POINT (16.329638558923655 48.180778096275404),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69c7,6151988,POINT (16.320657779468874 48.19753532309744),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69c6,6151989,POINT (16.49643429895291 48.22516105670676),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69c5,6151990,POINT (16.327759119865572 48.16589328656554),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69c4,6151991,POINT (16.393619343768588 48.22283472042268),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69c3,6151992,POINT (16.382944627899082 48.206451435323025),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69c2,6151993,POINT (16.31665139273197 48.14163829041815),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69c1,6151994,POINT (16.473890621160916 48.1590152816455),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69c0,6151995,POINT (16.330148840613983 48.17535959046389),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69bf,6151996,POINT (16.318120323862626 48.19028079726384),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69be,6151997,POINT (16.342081380132623 48.19628872262264),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69bd,6151998,POINT (16.338629836505387 48.19567008758838),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69bc,6151999,POINT (16.337022286349317 48.19318322635763),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69bb,6152000,POINT (16.33589719313348 48.20178384144689),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69ba,6152001,POINT (16.35038762454527 48.19816115092544),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69b9,6152002,POINT (16.3170467034066 48.15039832042568),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69b8,6152003,POINT (16.32450468069867 48.161500280382455),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69b7,6152004,POINT (16.35716847793204 48.20547396054378),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69b6,6152005,POINT (16.3098981776088 48.225714895964465),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69b5,6152006,POINT (16.344405059140048 48.22621958177937),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69b4,6152007,POINT (16.386485687553495 48.24012504502874),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69b3,6152008,POINT (16.413276880867166 48.21518162932047),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69b2,6152009,POINT (16.431110398486783 48.247590532559684),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69b1,6152010,POINT (16.420972408691945 48.20989293413644),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69b0,6152011,POINT (16.39325616401161 48.218069959995894),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69af,6152012,POINT (16.369091516309155 48.23120300813507),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69ae,6152013,POINT (16.29509996690931 48.1685886958102),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69ad,6152014,POINT (16.374281375393323 48.20091700735797),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69ac,6152015,POINT (16.383016975514177 48.22530360625606),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69ab,6152016,POINT (16.356028358302563 48.22513772464448),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69aa,6152017,POINT (16.36138403162854 48.18407753486888),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69a9,6152018,POINT (16.381685646564033 48.188534302299814),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69a8,6152019,POINT (16.344178160644482 48.18659772460752),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69a7,6152020,POINT (16.374630923857445 48.185616052501004),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69a6,6152021,POINT (16.382212054414993 48.15387085047477),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69a5,6152022,POINT (16.383559432630207 48.21439385200327),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69a4,6152023,POINT (16.45411632444415 48.277707268818205),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69a3,6152024,POINT (16.374869648105225 48.24860075444071),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69a2,6152025,POINT (16.341557666717623 48.2456934046862),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69a1,6152026,POINT (16.36474746124717 48.24920758618306),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-69a0,6152027,POINT (16.31268120078258 48.199184625354825),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-699f,6152028,POINT (16.387345860629512 48.246714019973396),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-699e,6152029,POINT (16.397314932632565 48.238216267256014),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-699d,6152030,POINT (16.337866466968194 48.1788323040586),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-699c,6152031,POINT (16.342653067197 48.25576432135007),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-699b,6152032,POINT (16.404319011888795 48.268519185924795),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-699a,6151487,POINT (16.400608531297443 48.15075693541099),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6999,6151488,POINT (16.400497417752742 48.15082423706949),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6998,6151489,POINT (16.406494426760535 48.14485166762564),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6997,6151490,POINT (16.406622691967215 48.14506516689255),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6996,6151491,POINT (16.406694199199485 48.14499162601175),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6995,6151492,POINT (16.40493329510633 48.14377144103423),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6994,6151493,POINT (16.404258287031812 48.143416779545255),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6993,6151494,POINT (16.403970024407617 48.14323415626224),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6992,6151495,POINT (16.40350988738385 48.1432610147663),Zierbrunnen,6,
